datetime,latitude,longitude,depth,latitude_err,longitude_err,depth_err,type,deep_nest,comments,day,month
1970-01-11 02:39:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-01-11,1970-01
1970-01-12 00:35:00.000,,,,,,,,,,1970-01-12,1970-01
1970-01-12 12:41:00.000,,,,,,,Deep Moonquake,213,,1970-01-12,1970-01
1970-01-15 04:39:00.000,,,,,,,,,,1970-01-15,1970-01
1970-01-19 20:25:00.000,,,,,,,Meteoroid Impact,,,1970-01-19,1970-01
1970-01-20 15:15:00.000,,,,,,,,,,1970-01-20,1970-01
1970-01-21 04:55:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-01-21,1970-01
1970-01-21 12:50:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-01-21,1970-01
1970-01-21 19:24:00.000,,,,,,,,,,1970-01-21,1970-01
1970-01-22 08:51:00.000,,,,,,,Deep Moonquake,2,,1970-01-22,1970-01
1970-01-22 15:06:00.000,-6.0,-19.7,1037.0,2.4,3.6,68.0,Deep Moonquake,9,,1970-01-22,1970-01
1970-01-23 20:37:00.000,,,,,,,,,,1970-01-23,1970-01
1970-01-24 03:39:00.000,-23.7,-35.5,1086.0,4.8,6.5,37.0,Deep Moonquake,8,,1970-01-24,1970-01
1970-01-24 04:44:00.000,,,,,,,Meteoroid Impact,,,1970-01-24,1970-01
1970-01-24 06:53:00.000,,,,,,,Meteoroid Impact,,,1970-01-24,1970-01
1970-01-25 02:41:00.000,,,,,,,Deep Moonquake,12,,1970-01-25,1970-01
1970-01-26 11:42:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-01-26,1970-01
1970-01-26 14:47:00.000,-19.1,-41.7,973.0,3.0,5.6,23.0,Deep Moonquake,13,,1970-01-26,1970-01
1970-01-29 00:17:00.000,25.0,53.2,893.0,1.7,8.0,27.0,Deep Moonquake,7,,1970-01-29,1970-01
1970-01-29 16:58:00.000,,,,,,,Deep Moonquake,206,,1970-01-29,1970-01
1970-01-30 06:29:00.000,,,,,,,,,,1970-01-30,1970-01
1970-01-31 23:30:00.000,,,,,,,Deep Moonquake,303,,1970-01-31,1970-01
1970-02-01 03:48:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-02-01,1970-02
1970-02-01 04:30:00.000,46.6,42.3,861.0,3.9,8.2,25.0,Deep Moonquake,65,,1970-02-01,1970-02
1970-02-02 02:03:00.000,,,,,,,Deep Moonquake,217,,1970-02-02,1970-02
1970-02-02 10:59:00.000,,,,,,,Deep Moonquake,4,,1970-02-02,1970-02
1970-02-02 14:30:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-02-02,1970-02
1970-02-02 15:20:00.000,,,,,,,,,,1970-02-02,1970-02
1970-02-02 20:57:00.000,-25.2,-37.6,928.0,0.9,1.2,13.0,Deep Moonquake,14,"The source position is decided by (Khan and Mosegaard, 2002)",1970-02-02,1970-02
1970-02-03 18:35:00.000,,,,,,,,,,1970-02-03,1970-02
1970-02-03 20:29:00.000,-40.9,-40.6,933.0,7.5,8.4,109.0,Deep Moonquake,86,(*) The source depth is assumed to be 933km,1970-02-03,1970-02
1970-02-04 18:49:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-02-04,1970-02
1970-02-04 20:40:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-02-04,1970-02
1970-02-05 04:22:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-02-05,1970-02
1970-02-05 08:11:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-02-05,1970-02
1970-02-05 14:32:00.000,21.6,43.6,788.0,1.8,5.9,29.0,Deep Moonquake,22,,1970-02-05,1970-02
1970-02-05 16:27:00.000,,,,,,,,,,1970-02-05,1970-02
1970-02-06 08:06:00.000,-2.9,-50.3,946.0,1.7,6.3,22.0,Deep Moonquake,3,,1970-02-06,1970-02
1970-02-07 01:33:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-02-07,1970-02
1970-02-07 03:26:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-02-07,1970-02
1970-02-07 13:39:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-02-07,1970-02
1970-02-09 08:21:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-02-09,1970-02
1970-02-10 07:20:00.000,,,,,,,,,,1970-02-10,1970-02
1970-02-12 21:34:00.000,,,,,,,,,T?,1970-02-12,1970-02
1970-02-16 10:41:00.000,,,,,,,,,,1970-02-16,1970-02
1970-02-18 00:29:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,TX,1970-02-18,1970-02
1970-02-18 01:41:00.000,,,,,,,Meteoroid Impact,,,1970-02-18,1970-02
1970-02-18 03:32:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-02-18,1970-02
1970-02-18 07:51:00.000,,,,,,,Deep Moonquake,301,,1970-02-18,1970-02
1970-02-18 12:11:00.000,,,,,,,Meteoroid Impact,,,1970-02-18,1970-02
1970-02-18 14:38:00.000,,,,,,,Deep Moonquake,2,,1970-02-18,1970-02
1970-02-18 15:30:00.000,,,,,,,,,,1970-02-18,1970-02
1970-02-19 00:28:00.000,0.7,-3.9,747.0,0.7,0.6,62.0,Deep Moonquake,15,,1970-02-19,1970-02
1970-02-19 03:58:00.000,,,,,,,,,,1970-02-19,1970-02
1970-02-19 08:36:00.000,,,,,,,Deep Moonquake,208,,1970-02-19,1970-02
1970-02-19 09:33:00.000,,,,,,,,,,1970-02-19,1970-02
1970-02-19 16:35:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-02-19,1970-02
1970-02-20 05:17:00.000,,,,,,,,,,1970-02-20,1970-02
1970-02-20 10:25:00.000,22.2,-50.7,907.0,1.5,6.8,28.0,Deep Moonquake,42,,1970-02-20,1970-02
1970-02-20 12:25:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-02-20,1970-02
1970-02-20 13:35:00.000,,,,,,,,,,1970-02-20,1970-02
1970-02-20 16:12:00.000,-23.7,-35.5,1086.0,4.8,6.5,37.0,Deep Moonquake,8,,1970-02-20,1970-02
1970-02-20 18:17:00.000,,,,,,,,,,1970-02-20,1970-02
1970-02-20 19:11:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-02-20,1970-02
1970-02-20 23:04:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-02-20,1970-02
1970-02-21 07:35:00.000,,,,,,,Meteoroid Impact,,,1970-02-21,1970-02
1970-02-21 11:48:00.000,,,,,,,,,,1970-02-21,1970-02
1970-02-21 18:51:00.000,,,,,,,Deep Moonquake,12,,1970-02-21,1970-02
1970-02-23 05:31:00.000,-19.1,-41.7,973.0,3.0,5.6,23.0,Deep Moonquake,13,,1970-02-23,1970-02
1970-02-23 21:40:00.000,,,,,,,Meteoroid Impact,,,1970-02-23,1970-02
1970-02-25 06:05:00.000,,,,,,,,,,1970-02-25,1970-02
1970-02-26 16:31:00.000,25.0,53.2,893.0,1.7,8.0,27.0,Deep Moonquake,7,,1970-02-26,1970-02
1970-03-01 18:28:00.000,,,,,,,Deep Moonquake,304,,1970-03-01,1970-03
1970-03-01 18:53:00.000,46.6,42.3,861.0,3.9,8.2,25.0,Deep Moonquake,65,,1970-03-01,1970-03
1970-03-02 01:30:00.000,23.3,32.7,925.0,2.4,5.5,44.0,Deep Moonquake,18,,1970-03-02,1970-03
1970-03-02 01:52:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-03-02,1970-03
1970-03-02 04:44:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-03-02,1970-03
1970-03-02 08:01:00.000,21.6,43.6,788.0,1.8,5.9,29.0,Deep Moonquake,22,,1970-03-02,1970-03
1970-03-02 10:59:00.000,,,,,,,,,,1970-03-02,1970-03
1970-03-02 15:21:00.000,,,,,,,Deep Moonquake,80,,1970-03-02,1970-03
1970-03-02 22:04:00.000,,,,,,,Deep Moonquake,4,,1970-03-02,1970-03
1970-03-03 07:37:00.000,,,,,,,Meteoroid Impact,,,1970-03-03,1970-03
1970-03-03 08:30:00.000,25.0,53.2,893.0,1.7,8.0,27.0,Deep Moonquake,7,,1970-03-03,1970-03
1970-03-03 09:55:00.000,12.7,-35.7,931.0,1.2,4.8,39.0,Deep Moonquake,30,,1970-03-03,1970-03
1970-03-03 13:28:00.000,,,,,,,,,,1970-03-03,1970-03
1970-03-03 15:32:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-03-03,1970-03
1970-03-03 20:17:00.000,,,,,,,Meteoroid Impact,,,1970-03-03,1970-03
1970-03-04 04:22:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-03-04,1970-03
1970-03-05 17:02:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-03-05,1970-03
1970-03-05 19:10:00.000,,,,,,,,,,1970-03-05,1970-03
1970-03-05 23:45:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-03-05,1970-03
1970-03-06 01:40:00.000,-2.9,-50.3,946.0,1.7,6.3,22.0,Deep Moonquake,3,,1970-03-06,1970-03
1970-03-06 08:45:00.000,-2.4,-73.3,878.0,4.4,32.3,107.0,Deep Moonquake,218,,1970-03-06,1970-03
1970-03-06 21:34:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-03-06,1970-03
1970-03-07 12:26:00.000,,,,,,,,,T?,1970-03-07,1970-03
1970-03-07 22:55:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-03-07,1970-03
1970-03-11 19:57:00.000,,,,,,,,,,1970-03-11,1970-03
1970-03-14 12:00:00.000,,,,,,,Meteoroid Impact,,,1970-03-14,1970-03
1970-03-15 09:03:00.000,,,,,,,Deep Moonquake,205,,1970-03-15,1970-03
1970-03-15 18:39:00.000,,,,,,,Deep Moonquake,205,,1970-03-15,1970-03
1970-03-16 16:36:00.000,-16.9,-14.6,933.0,4.5,1.8,6.0,Deep Moonquake,39,"The source position is decided by (Khan and Mosegaard, 2002)",1970-03-16,1970-03
1970-03-17 01:09:00.000,,,,,,,,,,1970-03-17,1970-03
1970-03-18 08:04:00.000,,,,,,,Deep Moonquake,2,,1970-03-18,1970-03
1970-03-18 08:59:00.000,-6.0,-19.7,1037.0,2.4,3.6,68.0,Deep Moonquake,9,,1970-03-18,1970-03
1970-03-19 11:01:00.000,,,,,,,Meteoroid Impact,,,1970-03-19,1970-03
1970-03-19 21:01:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-03-19,1970-03
1970-03-20 05:57:00.000,-23.7,-35.5,1086.0,4.8,6.5,37.0,Deep Moonquake,8,,1970-03-20,1970-03
1970-03-20 15:50:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-03-20,1970-03
1970-03-21 05:29:00.000,,,,,,,Deep Moonquake,12,,1970-03-21,1970-03
1970-03-21 11:48:00.000,,,,,,,Meteoroid Impact,,,1970-03-21,1970-03
1970-03-22 05:11:00.000,,,,,,,,,,1970-03-22,1970-03
1970-03-22 19:30:00.000,,,,,,,,,,1970-03-22,1970-03
1970-03-23 04:57:00.000,,,,,,,,,,1970-03-23,1970-03
1970-03-24 15:04:00.000,,,,,,,,,,1970-03-24,1970-03
1970-03-25 00:00:00.000,25.0,53.2,893.0,1.7,8.0,27.0,Deep Moonquake,7,,1970-03-25,1970-03
1970-03-25 03:32:00.000,,,,,,,Meteoroid Impact,,,1970-03-25,1970-03
1970-03-26 10:19:00.000,,,,,,,,,,1970-03-26,1970-03
1970-03-26 20:17:00.000,,,,,,,Meteoroid Impact,,,1970-03-26,1970-03
1970-03-29 02:46:00.000,,,,,,,Meteoroid Impact,,,1970-03-29,1970-03
1970-03-29 17:55:00.000,,,,,,,Deep Moonquake,219,,1970-03-29,1970-03
